アーマダバード	Ahmedabad
アカプルコ	Acapulco
アクラ	Accra
アシガバート	Ashgabat
アスンシオン	Asuncion
アゾレス諸島	Azores
アテネ	Athens
アディスアベバ	Addis Ababa
アデレード	Adelaide
アトランタ	Atlanta
アビジャン	Abidjan
アピア	Apia
アブジャ	Abuja
アブダビ	Abu Dhabi
アムステルダム	Amsterdam
アラハバード	Allahabad
アリススプリングズ	Alice Springs
アリューシャン	Aleutian Islands
アルジェ	Algiers
アルマトイ	Almaty
アレクサンドリア	Alexandria
アンカラ	Ankara
アンカレジ	Anchorage
アンタナナリボ	Antananarivo
アンマン	Amman
イースター島	Easter Island
イスタンブール	Istanbul
イスラマバード	Islamabad
イズミル	Izmir
イリアンジャヤ	Irian Jaya
イルクーツク	Irkutsk
ウーハン(武漢)	Wuhan
ウィーン	Vienna
ウィニペグ	Winnipeg
ウィントフーク	Windhoek
ウェーク島	Wake Island
ウェリントン	Wellington
ウジュンパンダン	Ujung Pandan
ウラジオストク	Vladivostok
ウランバートル	Ulaanbaatar
エカテリンブルク	Yekaterinburg
エディンバラ	Edinburgh
エドモントン	Edmonton
エルサレム	Jerusalem
エルパソ	El Paso
エレバン	Yerevan
オークランド	Auckland
オオサカ(大阪)	Osaka
オスロ	Oslo
オタワ	Ottawa
カイロ	Cairo
カサブランカ	Casablanca
カトマンズ	Kathmandu
カブール	Kabul
カラカス	Caracas
カラチ	Karachi
カルカッタ	Calcutta
カルガリー	Calgary
カンクン	Cancun
カンザスシティー	Kansas City
カンパラ	Kampala
ガボローネ	Gaborone
ガラパゴス諸島	Galapagos Islands
キエフ	Kyiv
キガリ	Kigali
キト	Quito
キャンベラ	Canberra
キョウト(京都)	Kyoto
キングストン	Kingston
キンシャサ	Kinshasa
クアラルンプール	Kuala Lumpur
クウェート	Kuwait
クライストチャーチ	Christchurch
クラクフ	Krakow
クラスノヤルスク	Krasnoyarsk
クリスマス	Christmas Island
クリミア半島	Crimea Peninsula
グアダラハラ	Guadalajara
グアテマラ	Guatemala
グアム島	Guam
ケープタウン	Cape Town
ケアンズ	Cairns
コウベ(神戸)	Kobe
ココス	Cocos Islands
コタキナバル	Kota Kinabalu
コナクリ	Conakry
コペンハーゲン	Copenhagen
コロンボ	Colombo
コワンチョウ(広州)	Guangzhou
サッポロ(札幌)	Sapporo
サヌア	Sanaa
サマーラ	Samara
サラエボ	Sarajevo
サンクトペテルブルク	St Petersburg
サンサルバドル	San Salvador
サンティアゴ	Santiago
サンディエゴ	San Diego
サントドミンゴ	Santo Domingo
サンパウロ	Sao Paulo
サンフランシスコ	San Francisco
サンホセ	San Jose
サンマリノ	San Marino
ザグレブ	Zagreb
シアトル	Seattle
シェンヤン(瀋陽)	Shenyang
シカゴ	Chicago
シドニー	Sydney
シャンハイ(上海)	Shanghai
シンガポール	Singapore
シンシナティ	Cincinnati
ジャカルタ	Jakarta
ジュネーブ	Geneva
ジョージタウン	George Town
ストックホルム	Stockholm
スバ	Suva
スリジャヤワルデネプラコッテ	Sri Jayawardenepura Kotte
セビリヤ	Seville
センダイ(仙台)	Sendai
セントジョーンズ	St Johns
セントルイス	St Louis
ソウル	Seoul
ソフィア	Sofia
ソルトレークシティー	Salt Lake City
タイペイ(台北)	Taipei
タシケント	Tashkent
タラワ	Tarawa
タリン	Tallinn
タンパ	Tampa
ダーウィン	Darwin
ダーバン	Durban
ダカール	Dakar
ダッカ	Dhaka
ダブリン	Dublin
ダマスカス	Damascus
ダラス	Dallas
ダルエスサラーム	Dar Es Salaam
チャタム諸島	Chatham Islands
チャンチュン(長春)	Changchun
チューリヒ	Zurich
チュニス	Tunis
チョンチン(重慶)	Chongqing
チョントー(成都)	Chengdu
ティフアナ	Tijuana
ティモール島	Timor Island
ティラナ	Tirana
テグシガルパ	Tegucigalpa
テヘラン	Tehran
テンチン(天津)	Tianjin
デトロイト	Detroit
デュッセルドルフ	Dusseldorf
デンバー	Denver
デンパサール	Denpasar
トウキョウ(東京)	Tokyo
トビリシ	Tbilisi
トリポリ	Tripoli
トロント	Toronto
ドーハ	Doha
ドゥシャンベ	Dushanbe
ドレスデン	Dresden
ナイロビ	Nairobi
ナゴヤ(名古屋)	Nagoya
ナッシュビル	Nashville
ナハ(那覇)	Naha
ナポリ	Naples
ニアメー	Niamey
ニコシア	Nicosia
ニューオーリンズ	New Orleans
ニューデリー	New Delhi
ニューヨーク	New York
ヌアクショット	Nouakchott
ヌジャメナ	N'djamena
ヌメア	Noumea
ノボシビルスク	Novosibirsk
ハイデラバード	Hyderabad
ハノイ	Hanoi
ハバナ	Havana
ハバロスク	Khabarovsk
ハラレ	Harare
ハリファックス	Halifax
ハルツーム	Khartoum
ハンブルク	Hamburg
バクー	Baku
バグダッド	Baghdad
バマコ	Bamako
バミューダ	Bermuda
バルセロナ	Barcelona
バレッタ	Valletta
バロー	Barrow
バンガロール	Bangalore
バンギ	Bangui
バンクーバー	Vancouver
バンコク	Bangkok
バンジュール	Banjul
パース	Perth
パナマ	Panama
パペーテ	Papeete
パラマリボ	Paramaribo
パリ	Paris
パレルモ	Palermo
パレンバン	Palembang
ヒューストン	Houston
ヒロシマ(広島)	Hiroshima
ビエンチャン	Vientiane
ビサウ	Bissau
ビシケク	Bishkek
ビリニュス	Vilnius
ピッツバーグ	Pittsburgh
ピョンヤン	Pyongyang
フィラデルフィア	Philadelphia
フェニックス	Phoenix
フェニックス諸島	Phoenix Islands
フェルナンドデノロニャ諸島	Fernando De Noronha Islands
フクオカ(福岡)	Fukuoka
フランクフルト	Frankfurt
フリータウン	Freetown
フンシャル	Funchal
ブエノスアイレス	Buenos Aires
ブカレスト	Bucharest
ブジュンブラ	Bujumbura
ブダペスト	Budapest
ブラザビル	Brazzaville
ブラジリア	Brasilia
ブラチスラバ	Bratislava
ブリスベーン	Brisbane
ブリッジタウン	Bridgetown
ブリュッセル	Brussels
プサン(釜山)	Busan
プノンペン	Phnom Penh
プラハ	Prague
プレトリア	Pretoria
ヘルシンキ	Helsinki
ベイルート	Beirut
ベオグラード	Belgrade
ベネチア	Venice
ベルモパン	Belmopan
ベルリン	Berlin
ベルン	Bern
ペキン(北京)	Beijing
ペトロパブロフスク	Petropavlovsk
ホーチミン	Ho Chi Minh
ホニアラ	Honiara
ホノルル	Honolulu
ホバート	Hobart
ホワイトホース	Whitehorse
ホンコン(香港)	Hong Kong
ボーデ	Bodo
ボゴタ	Bogota
ボストン	Boston
ボルドー	Bordeaux
ボンベイ	Bombay
ポートオブスペイン	Port Of Spain
ポートサイド	Port Said
ポートモレスビー	Port Moresby
ポートランド	Portland
ポートルイス	Port Louis
ポルトープランス	Port-au-Prince
ポルトノボ	Porto Novo
マイアミ	Miami
マガダン	Magadan
マサトラン	Mazatlan
マシャド	Machado
マスカット	Muscat
マセル	Maseru
マドラス	Madras
マドリード	Madrid
マナウス	Manaus
マナグア	Managua
マナマ	Manama
マニラ	Manila
マプト	Maputo
マラボ	Malabo
マルセイユ	Marseille
マレ	Male
マンチェスター	Manchester
ミネアポリス	Minneapolis
ミュンヘン	Munich
ミラノ	Milan
ミンスク	Minsk
ムババーネ	Mbabane
メキシコシティー	Mexico City
メダン	Medan
メッカ	Mecca
メルボルン	Melbourne
メンフィス	Memphis
モガディシオ	Mogadishu
モスクワ	Moscow
モナコ	Monaco
モルッカ諸島	Maluku Islands
モンテビデオ	Montevideo
モントリオール	Montreal
モンロビア	Monrovia
ヤウンデ	Yaounde
ヤクーツク	Yakutsk
ヤムスクロ	Yamoussoukro
ヤンゴン	Yangon
ヤンマイエン	Jan Mayen
ヨコハマ(横浜)	Yokohama
ライン諸島	Line Islands
ラゴス	Lagos
ラスパルマス	Las Palmas
ラスベガス	Las Vegas
ラバウル	Rabaul
ラバト	Rabat
ラパス	La Paz
ラホール	Lahore
リーブルビル	Libreville
リオデジャネイロ	Rio De Janeiro
リオブランコ	Rio Branco
リガ	Riga
リスボン	Lisbon
リマ	Lima
リヤド	Riyadh
リロングウェ	Lilongwe
ルアンダ	Luanda
ルクセンブルグ	Luxembourg
ルサカ	Lusaka
ルブンバシ	Lubumbashi
レイキャビク	Reykjavik
ロードハウ島	Lord Howe Island
ローマ	Rome
ロサンゼルス	Los Angeles
ロメ	Lome
ロンドン	London
ワガドゥグ	Ouagadougou
ワシントン	Washington
ワルシャワ	Warsaw
札幌	Sapporo
滝川	Takigawa
小樽	Otaru
函館	Hakodate
釧路	Kushiro
帯広	Obihiro
北見	Kitami
稚内	Wakkanai
旭川	Asahikawa
青森	Aomori
秋田	Akita
盛岡	Morioka
仙台	Sendai
迫	Hasama
酒田	Sakata
山形	Yamagata
福島	Fukushima
いわき	Iwaki
郡山	Koriyama
新潟	Niigata
柏崎	Kashiwazaki
長岡	Nagaoka
長野	Nagano
松本	Matsumoto
飯田	Iida
前橋	Maebashi
桐生	Kiryu
宇都宮	Utsunomiya
水戸	Mito
つくば	Tsukuba
東京	Tokyo
東京Ａ	Tokyo A
多摩	Tama
八王子	Hachioji
所沢	Tokorozawa
千葉	Chiba
川崎	Kawasaki
横浜	Yokohama
横浜Ａ	Yokohama A
厚木	Atsugi
藤沢	Fujisawa
船橋	Funabashi
大宮	Omiya
浦和	Urawa
名古屋	Nagoya
浜松	Hamamatsu
豊橋	Toyohashi
静岡	Shizuoka
甲府	Kofu
沼津	Numazu
豊田	Toyota
半田	Handa
多治見	Tajimi
恵那	Ena
岐阜	Gifu
大垣	Ogaki
津	Tsu
四日市	Yokkaichi
伊勢	Ise
大阪	Osaka
大阪Ａ	Osaka A
堺	Sakai
和歌山	Wakayama
奈良	Nara
彦根	Hikone
京都	Kyoto
金沢	Kanazawa
富山	Toyama
能登	Noto
敦賀	Tsuruga
大津	Otsu
福井	Fukui
神戸	Kobe
神戸・明石	Kobe/Akashi
姫路	Himeji
西宮	Nishinomiya
広島	Hiroshima
山口	Yamaguchi
福山	Fukuyama
松江	Matsue
鳥取	Tottori
米子	Yonago
岡山	Okayama
高松	Takamatsu
徳島	Tokushima
高知	Kochi
宇和島	Uwajima
松山	Matsuyama
福岡	Fukuoka
北九州	Kitakyushu
久留米	Kurume
佐賀	Saga
諌早	Isahaya
長崎	Nagasaki
熊本	Kumamoto
大分	Oita
那覇	Naha
宮崎	Miyazaki
鹿児島	Kagoshima
